category,mouse_id,picture_id,IntDen
BHB,LG355_204_BHB,LG355_204_BHB_1,0.0012529060000000011
BHB,LG355_204_BHB,LG355_204_BHB_2,0.0010407280000000003
BHB,LG355_204_BHB,LG355_204_BHB_3,0.0010343420000000002
BHB,LG355_204_BHB,LG355_204_BHB_4,0.001064074
CTRL,LG355_206_CTRL,LG355_206_CTRL_1,0.0012136289999999993
CTRL,LG355_206_CTRL,LG355_206_CTRL_2,0.000992969000000001
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,0.0015159859999999995
CTRL,LG355_206_CTRL,LG355_206_CTRL_4,0.0012104890000000017
CTRL,LG355_207_CTRL,LG355_207_CTRL_1,0.0007245800000000013
CTRL,LG355_207_CTRL,LG355_207_CTRL_2,0.0008243140000000005
CTRL,LG355_207_CTRL,LG355_207_CTRL_3,0.0010608600000000007
CTRL,LG355_207_CTRL,LG355_207_CTRL_4,0.000784003000000001
CTRL,LG355_208_CTRL,LG355_208_CTRL_1,0.001003599000000001
CTRL,LG355_208_CTRL,LG355_208_CTRL_2,0.0005912669999999998
CTRL,LG355_208_CTRL,LG355_208_CTRL_3,0.0007545579999999999
CTRL,LG355_208_CTRL,LG355_208_CTRL_4,0.0008105190000000011
BHB,LG355_210_BHB,LG355_210_BHB_1,0.0012475799999999997
BHB,LG355_210_BHB,LG355_210_BHB_2,0.0008168810000000002
BHB,LG355_210_BHB,LG355_210_BHB_3,0.0007139780000000004
BHB,LG355_210_BHB,LG355_210_BHB_4,0.0017303150000000003
BHB,LG875_43_BHB,LG875_43_BHB_1,8.699599999999994e-05
BHB,LG875_43_BHB,LG875_43_BHB_2,0.00012625100000000002
BHB,LG875_43_BHB,LG875_43_BHB_3,0.00025354500000000026
BHB,LG875_43_BHB,LG875_43_BHB_4,0.00024188400000000013
BHB,LG875_44_BHB,LG875_44_BHB_1,0.0007097190000000007
BHB,LG875_44_BHB,LG875_44_BHB_2,0.0002567450000000001
BHB,LG875_44_BHB,LG875_44_BHB_3,0.0002864450000000002
BHB,LG875_44_BHB,LG875_44_BHB_4,0.0007532300000000008
CTRL,LG875_46_CTRL,LG875_46_CTRL_1,0.0014756819999999942
CTRL,LG875_46_CTRL,LG875_46_CTRL_2,0.0008529380000000012
CTRL,LG875_46_CTRL,LG875_46_CTRL_3,0.0013680078000000001
CTRL,LG875_46_CTRL,LG875_46_CTRL_4,0.0012412080000000002
CTRL,LG875_47_CTRL,LG875_47_CTRL_1,0.000136851
CTRL,LG875_47_CTRL,LG875_47_CTRL_2,0.000231257
CTRL,LG875_47_CTRL,LG875_47_CTRL_3,0.0005389170000000003
CTRL,LG875_47_CTRL,LG875_47_CTRL_4,0.0002917430000000002
