category,mouse_id,picture_id,Area,IntDen,Count,area_vs_DAPI,IntDen_vs_DAPI
BHB,LG355_204_BHB,LG355_204_BHB_1,4913.0399999999945,0.0012529059999999985,2472,1.9874757281553377,5.068389967637535e-07
BHB,LG355_204_BHB,LG355_204_BHB_2,4081.3,0.0010407280000000003,2383,1.7126731011330256,4.3673017205203536e-07
BHB,LG355_204_BHB,LG355_204_BHB_3,4056.2599999999993,0.0010343420000000002,2453,1.653591520587036,4.2166408479412973e-07
BHB,LG355_204_BHB,LG355_204_BHB_4,4172.480000000001,0.001064074,2527,1.6511594776414726,4.2108191531460225e-07
CTRL,LG355_206_CTRL,LG355_206_CTRL_2,3893.809999999999,0.000992969000000001,1984,1.9626058467741931,5.004884072580651e-07
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,5944.889999999995,0.0015159859999999995,235,25.297404255319126,6.451004255319147e-06
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,5944.889999999995,0.0015159859999999995,2333,2.548174024860692,6.498011144449205e-07
CTRL,LG355_206_CTRL,LG355_206_CTRL_4,4746.589999999994,0.0012104890000000017,2307,2.057472908539226,5.24702644126572e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_1,2841.3599999999956,0.0007245800000000013,2475,1.1480242424242406,2.927595959595965e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_2,3232.390000000001,0.0008243140000000005,2279,1.4183369899078546,3.6169986836331743e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_3,4160.209999999997,0.0010608600000000007,1961,2.121473737888831,5.409790922998474e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_4,3074.2299999999937,0.000784003000000001,2403,1.2793300041614621,3.262600915522268e-07
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_1,3935.319999999997,0.001003599000000001,2157,1.8244413537320339,4.652753824756611e-07
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_2,2346.3999999999996,0.0005912669999999998,2538,0.9245074862096138,2.3296572104018906e-07
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_3,2887.1599999999994,0.0007545579999999999,2536,1.138470031545741,2.9753864353312296e-07
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_4,3178.199999999999,0.0008105190000000011,2715,1.1706077348066295,2.9853370165745897e-07
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_1,4892.219999999997,0.0012475799999999997,2630,1.8601596958174893,4.743650190114067e-07
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_2,3203.4600000000005,0.0008168810000000002,2606,1.2292632386799696,3.134616270145818e-07
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_3,2799.679999999998,0.0007139780000000004,2129,1.3150211366838882,3.3535838421794287e-07
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_4,6785.169999999998,0.0017303150000000003,2071,3.2762771607918872,8.354973442781266e-07
BHB,LG875_43_BHB,LG875_43_BHB_1,341.1200000000003,8.699599999999994e-05,2311,0.14760709649502393,3.7644309822587595e-08
BHB,LG875_43_BHB,LG875_43_BHB_2,495.0400000000001,0.00012625100000000002,2336,0.2119178082191781,5.4045804794520554e-08
BHB,LG875_43_BHB,LG875_43_BHB_3,994.3299999999994,0.00025354500000000026,2791,0.35626298817628066,9.084378359011116e-08
BHB,LG875_43_BHB,LG875_43_BHB_4,948.4899999999998,0.00024188400000000013,2786,0.3404486719310839,8.682124910265618e-08
BHB,LG875_44_BHB,LG875_44_BHB_1,5566.079999999994,0.0014194379999999964,2577,2.1599068684516856,5.508102444703129e-07
BHB,LG875_44_BHB,LG875_44_BHB_2,2013.560000000002,0.0005134900000000007,2454,0.8205215973920138,2.0924612876935643e-07
BHB,LG875_44_BHB,LG875_44_BHB_3,2246.599999999999,0.0005728900000000007,2223,1.0106162843004944,2.5771030139451224e-07
BHB,LG875_44_BHB,LG875_44_BHB_4,5907.499999999991,0.0015064599999999974,2456,2.4053338762214946,6.133794788273605e-07
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_1,5786.679999999986,0.0014756819999999942,2524,2.2926624405705174,5.846600633914398e-07
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_2,3344.7199999999953,0.0008529380000000012,2086,1.6034132310642355,4.088868648130399e-07
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_3,5886.569999999998,0.0013680078000000001,2407,2.4456044869131692,5.683455754050686e-07
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_4,4867.4699999999975,0.0012412080000000002,2440,1.9948647540983597,5.086918032786886e-07
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_1,536.6500000000003,0.000136851,2476,0.21674071082390967,5.527100161550889e-08
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_2,906.8699999999999,0.000231257,2561,0.3541077704021866,9.029949238578681e-08
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_3,2113.3900000000012,0.0005389170000000003,2580,0.8191434108527137,2.08882558139535e-07
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_4,1144.0100000000002,0.0002917430000000002,2353,0.48619209519762013,1.2398767530811736e-07
