mouse_id,Area,IntDen,category
LG355_204_BHB,44.825862347546945,1.1430977273635056e-05,BHB
LG355_206_CTRL,23.497216081210233,5.992066842467748e-06,CTRL
LG355_207_CTRL,21.842931615724073,5.570236719516187e-06,CTRL
LG355_208_6.5_CTRL,31.80466584474207,8.171665616083898e-06,CTRL
LG355_210_6.5_BHB,43.62482135439844,1.1124821075786236e-05,BHB
LG875_43_BHB,11.977697992893113,3.054515374742815e-06,BHB
LG875_44_BHB,22.769269289319947,5.806412085081268e-06,BHB
LG875_46_6.5_CTRL,27.4308910118942,6.76236575395695e-06,CTRL
LG875_47_6.5_CTRL,26.904026264386026,6.860723183929892e-06,CTRL
